address,balance,
bcna1465kg4xaa5sl3vlm02zwe6y7jqltyncvcsygxr,32910049646754,
bcna13zv80wzv0x9drchzldynjnp24j6fz760h3mf6y,5630004000000,
bcna1zqs75sw8qzz9e6l83mfu9tyn067l5jcpqqn5h7,4685204000000,
bcna14969v89x8u7t7tmjcc42n2ayn9g097arvj270j,4087102789800,
bcna1d0hk2gflp7hsejy4t2a750g34w2m9nel6jvdy8,3155904900000,
bcna1pvlcus3aclhld8f5g4pefj4ne8pye9kncj6805,2509000000000,
bcna176d8lsfezzynvjnzc4ulr8v7jtrpvd2wpds0y4,2330125626591,
bcna18sfsljlc34tkc0cza22jfqrakk3ju56tncd07e,2266246768627,
bcna163fuwqshz0n0ex0v889k8dnv2juujh8jd46qfs,2126007537255,
bcna19fc22a6lqq5m37tsynt6jypt0e76r0j8najxaf,1921305250001,
bcna1kfddgqxfq7yhr2yfpdkzlhx32jjg0n0q4ysta6,1532409000000,
bcna1449gawne24flzzh7n70e0jsdkmg4jladzxwnl5,1500027000000,
bcna16qf0qc0cf6g6u8zjm95s9pzh647gyljj38wdt3,1493751254564,
bcna16pqcvcun59zw49yjln97fsezdnx42kn7evanjp,1487549000000,
bcna1g86jlncthmlcu9xrrut9826guvasr6n6etfadl,1400023000000,
bcna15r9cewc675rejzct72c3yxjlm3le7cc3m5cn7x,1400004000000,
bcna1eyrh5yc7l8spdrausd5xc4tg0ruxrc60q8se9j,1360020000000,
bcna1wdr9wdl2x7a8s4926jwpz32gt9vtykf4yzvxtx,1001397000000,
bcna130mx4yfrgl7l8psnru8ppagw5lyzvrntfrx2q9,949897773908,
bcna1vwj8jqds023uax2z7x3cqdm32qns857au3jnyp,800420850501,
bcna1d697vdmfzjy3nvdgcvhfp8vx8enxf23mgkar6u,689875000000,
bcna1lr2m9fz77kyn0fa55rf4se0ypsfllvxhvf0x6g,677929000000,
bcna193szcwspd6wnggpf0vx62fdujnnq7tv4x6zfrs,595518428310,
bcna1v28w4ruxgkcl88cx2vm2lmxr99draassfl2ct0,525004000000,
bcna1dmedg5ahacms4efjn9allk3rx49raslwgz0v6l,523452899459,
bcna1ujt3xddfn5m5vz0ddetkjg78qc98r5g3mngq6z,520504000000,
bcna19ehqgwhwcv06ztgg2e85ddn9stgvf22zhl2frn,500004000000,
bcna19ehqgwhwcv06ztgg2e85ddn9stgvf22zhl2frn,500004000000,
bcna1h6duhhuep8k6y7xz2h4nfft0ukv9tsdp8rtch4,500000000000,
bcna1sgcmcv6q3egcn622tt67ydwk2r6eavmagjr5lf,499025000000,
bcna1gxkpgd3qpu3nxdh4pdhgdgsdutvna6quk0j0cw,490004000000,
bcna1vyknz2pj6x02agc5w905u2sf4t5zdqyfgqkv8m,485687000000,
bcna1kd3tpwrk0gtr478lgsnvct07h5nxuds43lc3pu,485004000000,
bcna1r3pqz6sp7f7af0aw0xd4nfs3a5dvrcugrhahrt,462509000000,
bcna1fatfnhj0rau05ueqrt54dnwjv47gpeyptfpnhv,459624000000,
bcna1h46sezm97f8m2xq0vr9cak2frs0zmgzse46mz5,450004000000,
bcna1vznkfjj76cjr547wdu9c4gr3e04s0eq66tz8jp,430004000000,
bcna1yjhn2re64c7x5q2a8gshjnqy2nzs6mndzjj5pn,390130000000,
bcna15k9q3xkdfvf46v8v5pt5f23j9v2vsctx72d4tj,386068000000,
bcna1wy2exlyfjldpw8mekzca689jxxrt5aprcezrh3,385604000000,
bcna1anjy7652qkd76ygdzn2uzv4npnlz97w2vjh585,376011000000,
bcna1c6w0fjf0ycu8sjdkm0a9ypxfqvp3t9902acatu,375414000000,
bcna1u2rz4u3tx3zzztc63k3ssjcknullctly35hq70,369876864322,
bcna13ccxek5p7elcvqkzy6wp0hach6z9uvdc3mm0lc,359004000000,
bcna1c65lnu4mpxk4e7nntceza9ah959q45pgum90ml,350420898199,
bcna1u7a2yr4urkepemtn96v2hywcx3ge3afkfvy3pr,345340000000,
bcna1749p327z3hk2mhla3vzpaaujgsnp2gjtyr6u77,344508402051,
bcna1hkg2zx77qryd5xglw73kcs6fv3njn9fcf0gfxj,300000000000,
bcna1drjg3smcfczm87kvwssrvx250luqxyvalprte0,284027484012,
bcna1eweldsr5xznwax6a5de699hhhplkt2h36mmfcv,273971000000,
bcna1nv5rjjzsyklguv4j3pa76hq4mhy8j8gd8yjz59,270886000000,
bcna1rj84vrjx8s6k93dype0typmuqnk4z5tz7866pn,269564000000,
bcna1shv0un6hywmn69z92ejfutghuxvryf4fkanp0k,269319000000,
bcna1p7cwxfhhhryyy0a9dhpy0l45v3kj8dd82d46fv,268802000000,
bcna18wvcvg8hr6xt5l76nsufdwx0zuejcshf5sn2zh,268002000000,
bcna145wqf3zw2nrkrhktrppmuur4pzmx8tur0qenhp,268002000000,
bcna1ss86hrkhd5ekaly3cu8qx9xe2gz3c9qy5srjyh,268001000000,
bcna132k0eg3wurrvgy8x6wplu6ejcve0a9h7rgr3av,267570500000,
bcna1q9feqfxgg8xwl788l8nxngzdp6srqww0fktehy,266514686265,
bcna12et9quppq0yvzzet3wmhg3tekhfk2dely82gh8,263456691955,
bcna1hc05p22dljf39ds3n2mexsj2l9m6892jqgl6mf,259480000000,
bcna1skw7e7uvvg5xfv6tu66lyzz8e6rrnztqqzqk3d,259197000000,
bcna14aytnr2pedc9zd2sxde5t66kagwfn6wv8qdehg,259131000000,
bcna19vdywxc7lycypugw9yfqk5g4yt0g9hskcnsup8,237948000000,
bcna16x80hlz8w7g53mudh40q3g380500ep9k628q8x,225000000000,
bcna1zygx25tktc33csn4h40nkueuz3eycw9hdg4h2z,223884000002,
bcna1zeu4qkycg0ddqm9wca23p38q63zkmhpl63dl2u,222090000000,
bcna1ax5lch7rqacgufjp0vczut7vcs9d0jn698x7q7,207566000000,
bcna1l4dkc8zr7f7att023lkcxzx5pa3d622a7vdknk,196992000000,
bcna1y47xr6dkw48qcu7qmd5v9dhmekqqffm9f3tlks,196707000000,
bcna1dywyqetz0k5xngtx3mfd66s75y638ukvrkgcwa,196039000000,
bcna1t749nde4pjrq84688xgjvkl7n4xvu62uvq5sal,194339000000,
bcna12q567kam3tclejefg8jggkxfxues5xlhxa68tf,192468210000,
bcna1r3ng03j0w0270g0wacckc9nk00trsnrg6zpt35,187502000000,
bcna1wklvv5f08lsq0yzm33vnpqljnvf93lnspumrhp,184063278601,
bcna1d62qz0ya0l80pzx2876acz9qfdjsca0m9ej5dj,182349000000,
bcna1zjyufmhzchx08l0wy40njjv8gd5yx8zuat5xwm,177194557402,
bcna1gz7mhcuuglg3s2d7pf3cu9kkkewkdyr2l7sxur,174008522611,
bcna17wwdgqkqpzeuzxuu3tp3c49ckwqjkkttlvl9m6,166144000000,
bcna1s5dgfle7sc5639xjvfvy5hnfcmkwukhng2pu40,156017000000,
bcna1wuyqkqfzn3lmnsl0vkccsrpyccp2aurnkl5s0j,155453000000,
bcna1p2nu4ud60z6rj4zlrq0md3jlsxhwu2p2tprjnu,155000000000,
bcna1jwj86pudpjq6zmgec255790sxl86zxwfz9dvsm,152000000000,
bcna1ldxdm0g2u74t53jznzu96y7060x0vhjehhr556,149690000000,
bcna1sah6yh3jmx8z24jgnytsurqryfrx5sqwjq83xq,149132237128,
bcna1jgl8xr9fcczru9na9mt68t2l07p4l2upw4j0ty,148215000000,
bcna15xmceas8uret9c2kcac95qadw8rpwg68ycnkpl,147255000000,
bcna17j69c6g65dpph6aaw4ydxraxhs34k6ryjljwtz,146770000000,
bcna1p3u248x7psvw87hnvhf0q8wzlf0lgt57kp5eye,145498000000,
bcna1rwez44nrp9j75mxy7m37c6f3yq2lfcs9q3q7jq,137597995613,
bcna1e4jkjl96x0tj83e5xwv492m97adejhrjtwnw3s,129907000000,
bcna1lsq36skm8gr326pjm3eqwm40w7lf7wkxhh9fqv,123258000000,
bcna1qcr9n2eq4dzs8j4t4tppuvrwky3hrmvzpm2vc5,120500000000,
bcna1094aw6x5hu6zph8rk7qd26w9c8ugzchcfyymxq,119890546409,
bcna1rqyeyxfh5cyml36y5u6efgjyhpkm5mmljghgn5,114023000000,
bcna136rtel734req8svdg98aeeeplkezt423kv3a6c,103390888071,
bcna14pvwv0a8tnavgdj6k6zc727ee7xdq3qcuv6arl,100924242268,
bcna1ttkg00prt6w9a9zsgh9ywvftmqm22n4zdmgzpf,100000000000,
bcna1x9r2jrkgmhgpxlgm7fl2seaxfsu4ve6tktvk69,99244073115,
bcna1pnhpwq7zeykcttkzgwymh5n5zkv0uwcys8mup7,97168256714,
bcna18aqr5tf44p9lqg8fzy0kvjrht88jp9wvwky0ud,90039774000,
bcna1fajj6y2wt66648uyhllwqjzmd62lsylqwwqd4d,89543990689,
bcna1qwpqpeht643ym3t6gq04ujjwf2537el5aekn22,88374854272,
bcna14dz7zytpenkyyktqvzq2mw7msfyp0y3zg48xqw,84000000000,
bcna1mp7q6d0742jtwzu9yu4zfqd0aj28nnpz53vxd0,75679000000,
bcna18tye7mqdkz6cmfk6tcf6trzjexjvdjtnpqxutm,75000009833,
bcna1rk4ywlkwck7wv9nq3q08mzamam9ahnfr3h4smg,74754000000,
bcna1kwwp7f5pszyxr39whf2rwm7gly596mdwdtlflq,72014392646,
bcna14vmkttlnsperrmlm3nc2c8rj4fxxwkzdeq4mt9,71173857890,
bcna1vpds7e5ydmkj2ux95ckuwrwwvt99y2m7z4vche,69267000000,
bcna13ek5xvncavcnm2r9tcn0g7wp49v6wtmp3ut703,69139020099,
bcna1dphjqwenetur8p05a3jqr00navx0de096vy690,67181476551,
bcna1ephy557hpj00re3e6rn7ajdg3v4u2clqtkdk45,60914819694,
bcna1vu065879rd2hvurc038e8lu9ghvws6zvvpnpdq,60230889849,
bcna1h34nzp0mt34kzvjpul7s3p3nlas7dxkadptez7,59455195641,
bcna1wy2maydl4ljlmlum53pvmtq8vu8xlqlndf0f2s,59057000000,
bcna1qtywp5hrcen6zvxezq5nya3pt90e2f8tkk96yh,54470381916,
bcna16nxc6aegtv92pev3fpznvj22synfddku9qtrtl,54299270000,
bcna1uaz68whskwce88rec35lsj48qk99w4r97hmndp,54112839195,
bcna1f97xhgsy4866xf98fcfwnuk0nhwuu0lsekzvzq,54086893716,
bcna1tm2knvxer9ayxqa9yetv0njk5r0g9lt6u8jpcz,51307500000,
bcna1j02mnucnt86ry78exctxnqlle4p5szs8l9sgpa,50006857932,
bcna1wy5rlr4l5gury0evnhwdknyj9xx5gjtsj5vsyh,50000000000,
bcna1d8mquv7mrswl307eufhjh6nr0mnae794ejykdp,49502500000,
bcna1vwyltcakuvegdtgz7pnw6mzr6lgv6ulz8ww7zx,49490478005,
bcna18fpckugjayhu22w844azldu5y7y465436kghf5,48000000000,
bcna1dy2kt5pwkqp06cayrvugktag46hhpw3je0y4kf,47878000001,
bcna1svqnpu3twqqz7mzjnxwx6fkgyyl8rzzqpme3tt,47822502512,
bcna14asu4u27cq8kuw45d43ztsr8thu26ygq0ayf0m,46703000000,
bcna1auaffqw8enc5ru9arlqxj6c8ceksvq200p7pgm,46428228006,
bcna1knlfhsxmhsmy8ttljdw2llttfjnevelmhfnx5q,46055234920,
bcna1gr5pu7nwsw9ejttxvs7syhf03sh47p2ces9nw5,45058608375,
bcna1vywadv4dgff2jg0az5gv0w5a2j6ptuvfknvf8s,44452750000,
bcna1zdkfwthc5z9wd39fahh0uu5xyv80vas8rq4u48,44013000000,
bcna1k8qq5x7fvregzqwk4rgd6c624pm29q3wjcu0cx,43787554155,
bcna1eyv6z2h0xsl5hcynwd7rl06ce2krw954uszl58,43349247812,
bcna1nz33xggrz4ppmtsq7yad5vvnf42tx08rhgp0wm,43067133767,
bcna1l6mudc85d7rlelvrpn8ry0y7we7jwxtt9tfgxm,42794000000,
bcna1dl7w3myyfmnarh0t5uxmy7qe6szagz3ka2nq42,42032496515,
bcna1rc9lsr5ak0xmnpwkwc75y89qxzcu276f9pd7m7,41703000902,
bcna1qvwnure9q38uhd7duym6dp3n0xtpwla37yztnq,41506999999,
bcna17y5htk2umkuutmuvsv32vz4akj0azhju3k7z2j,38653940799,
bcna19gta62js3h3p6s4xdtyyrt7g2zysp5rn0hxnvc,38182772743,
bcna1ljsp6j97dvcpmyg5y60wvwdufqsu5dzt2fs59g,37678108702,
bcna1q7takudlzlapjkl6wlna0n4tya40ddsfqx27m9,37347526058,
bcna18hx08m278r4lm6zrwlxwq9224gugrqlnegnfkx,37091950465,
bcna1k4eyr3q9ev8wzyhtuwshqft6qsuagz285nx5k8,36328834151,
bcna13jawsn574rf3f0u5rhu7e8n6sayx5gkwgusz73,35936480518,
bcna1pgn0lwkckqfs26y3kj643syljqhncu5my7w774,35834000000,
bcna19mq94j4ssqea6t3gq5va7jf0hpffxgy2qe2375,35038701187,
bcna1hrpqpsnwd38j7vtcgnlm4rur0rm43acetnhmzk,35000000041,
bcna1nqwq9mrg2r28f2zmz27p3unutzppn9eek9x5qr,34227000000,
bcna1a5498yallpyr2zgedsj03v75nswe88h3l2vjcp,33299612092,
bcna1p5kvg9pjv3jhtlhvezs8k69d3vt8mhpja9ly80,33056424299,
bcna1qerlfflvqq2w72nnux7zwv5s9ajf90cxvjwm04,33000000000,
bcna1nm50zycnm9yf33rv8n6lpks24usxzahkd5en04,32597841645,
bcna1ugdy6q7g5pvugjkwft0gcwwynwz8ljrlm2nn40,32030000000,
bcna1qus0nlmzje5e4wlgz7hdl864dfct7g4yr5lmsg,31784570000,
