Address,Points,Original Allocation
terp1zhweh0qv72twxf3s22dpg23w9f2vzelmcum3au,1,1672125000
terp1y64wre98vqyfldmg626x0g34hll7ksdh3lgpum,1,2240647500
terp1v5t7tma3ydh4de3pv8zcxh8e58krky5xh9v3sx,1,1672125000
terp1syqau7gee27ml462flvjhxucer6zdy7pvw7a95,1,1672125000
terp1skeqnjwmjpv50n5lak2kzj6ujz59gu4m6ashlr,1,3344250000
terp1r0z2xj642rjmpxdp59gaf3x3rjtwsmx4svvt4w,1,3912772500
terp1mzns2fp4urelqxyjxyjelef34j9eynu8ckg3v6,1,1672125000
terp1keu4upjzy5t4wj422gdhuld0rjkm4c9y7dzqws,1,1672125000
terp1h2qmh8wntzt5ve76zkq64j2l6gup98vv63rjc7,1,1672125000
terp1ahjjfn3jhmfytaevfdcfn6c0rtkqejaauncz3t,1,3344250000
terp1etx55kw7tkmnjqz0k0mups4ewxlr324tjlur54,1,3344250000
terp1eff25w2su9zxhe9lzea65l9xyptv8saxr9x7ck,1,3912772500
terp17wvqnrqvx7q5wrpm428vp758rcvkff2p8vlu7x,1,3344250000
terp157l6m32mwjmu5ue8txulkccamyuwqlglx3y0pa,1,1672125000
terp152v036x9h88sje6482spehqv5t6x3d2ne5q8a2,1,3344250000
terp10kq6fdfvddlwf29pxpf4g6y8ds786283wcxhjr,1,3912772500
terp1zufd7f4zp8wrd29lrd4akwx8tj8tw8qsp9yrz0,1,3912772500
terp1hzjshhytzexhkatvh2rjru94738ukckyufl55g,1,1672125000
terp1uc52al69sqxa76r5qea5yct9lwszng8zfnhnmc,1.34,3344250000
terp1u9nx0mxq30h6dq99w6ptju09pz3m32jxn2l22c,1.34,4481295000
terp1g80p4suzrz4vqsvs3za0yqhqcphlvnjy00kanl,1.34,4481295000
terp1cjcndhjhxj5ru9f05gazzpr8lhz5fz7d8a6zw3,1.34,4481295000
terp139x6xcc5hgtp3ql4uvq3s4trgwr9qqlt694hv9,1.34,4481295000
terp126jdyc74p70ahzrf3wvaka7hmeke8g2n6m720s,1.34,2240647500
terp1y64wre98vqyfldmg626x0g34hll7ksdh3lgpum,1.34,2240647500
