Address,Points,Original Allocation
terp152v036x9h88sje6482spehqv5t6x3d2ne5q8a2,1,3344250000
terp17wvqnrqvx7q5wrpm428vp758rcvkff2p8vlu7x,1,3344250000
terp1uc52al69sqxa76r5qea5yct9lwszng8zfnhnmc,1,3344250000
terp1ahjjfn3jhmfytaevfdcfn6c0rtkqejaauncz3t,1,3344250000
terp1fxccvvhhy43tvet2ah7jqwq4cwl9k3dxmww052,1,1672125000
terp1etx55kw7tkmnjqz0k0mups4ewxlr324tjlur54,1,3344250000
terp1vlfkzyfe56um24jx9zp96t4v957wr4wtnm9p6t,1,1672125000
terp1hdt66yvch9a8naxaz7xx7pgzkt0ghkvhlgs7s8,1,1672125000
terp1cfsgggrn0zgkac7632d8v6xw65a5knjtln3s30,1,1672125000
terp1g80p4suzrz4vqsvs3za0yqhqcphlvnjy00kanl,1.34,4481295000
terp17fq4f7vs5lu5fm3f7fms9xdj29amnevz9xaqst,1.34,2240647500
terp1huacpxux37sqdhgvruz7qj5wk88gh2hz6xya9g,1.34,2240647500
terp169g8s6qxjl5j6ap8yrrh3qpu9p5nh5hvhyskjq,1.34,2240647500
terp1u9nx0mxq30h6dq99w6ptju09pz3m32jxn2l22c,1.34,4481295000
terp1fak8qed3zu86d8hlmkdsee9h2xtutawl3ylw0r,1.34,2240647500
terp1y64wre98vqyfldmg626x0g34hll7ksdh3lgpum,1.34,2240647500
terp1kymg8jgly66q2ry9nmjdw5kkc0l4dkf5yjetg5,1.34,2240647500
terp10kq6fdfvddlwf29pxpf4g6y8ds786283wcxhjr,1.34,3912772500
terp1eff25w2su9zxhe9lzea65l9xyptv8saxr9x7ck,1.34,3912772500
terp1skeqnjwmjpv50n5lak2kzj6ujz59gu4m6ashlr,1.34,3344250000
terp1r0z2xj642rjmpxdp59gaf3x3rjtwsmx4svvt4w,1.34,3912772500
terp17cxqykcmedcfdfudn8rrdczxjx2vzh6jf03ejh,1.34,2240647500
terp16795j3j4epyf7js6f8ht8scyy9c708xfhrmymm,1.34,2240647500
terp1xvujnytmkv0380m2f39wukyr27f62e3vc5dqsx,1.34,2240647500
terp1gqrg30uaf2s2m7tklp75n9w8g0gus7nn2jr9nz,1.34,2240647500
terp139x6xcc5hgtp3ql4uvq3s4trgwr9qqlt694hv9,1.34,4481295000
terp15p8v9yldc3f6r60z7046atyvvyh7njd8ngz7k3,1.34,2239647500
terp1rwyn6w46u3067enhpdceqasg2um8dddtt5ursa,1.34,2239647500
terp1rxdeh5dj09wnuma7j0qf3c8rl6rsk05sevrrdz,1.34,2240647500
terp1un9ar4a0sqkcxwnxc43x3xq6yppc9d6n0hvsx5,1.34,2240647500
terp1w6yzswlclrh5emqefd3tvhhvvctspysydex5f2,1.34,2240647500
terp1cjcndhjhxj5ru9f05gazzpr8lhz5fz7d8a6zw3,1.34,4481295000
